digest,model,family,size,params_m,align,protocol,stream,view,axis,cell,theta_lo,theta_hi,tilt,n_frames,n_px_mean,AbsRel,SqRel,RMSE,RMSElog,log10,delta1,delta2,delta3,scale_ratio,raw_scale_ratio,anchored_ratio,gt_median,gt_std,gt_spread,AbsRel_ds,delta1_ds,ds_strata,pen,pen_ds
fcc6c600f83b,dav2_large,Depth-Anything-V2,Large,335.32,disparity_scale_shift,radial,real,fisheye,theta,50-55,50.0,55.0,,200,36245,0.117632,0.119472,0.457088,0.166162,0.049641,0.878796,0.964417,0.984727,0.968403,0.979727,0.904385,1.697035,1.084828,0.946375,0.126954,0.872362,3.990000,1.0041,
fcc6c600f83b,dav2_large,Depth-Anything-V2,Large,335.32,disparity_scale_shift,radial,real,rect,theta,0-10,0.0,10.0,,200,7926,0.121582,1.718208,0.690458,0.145919,0.040034,0.918001,0.964662,0.979163,0.995601,1.260659,1.003126,3.014825,0.718804,0.417720,0.110035,0.927131,2.715000,0.7334,
fcc6c600f83b,dav2_large,Depth-Anything-V2,Large,335.32,disparity_scale_shift,radial,real,rect,theta,10-20,10.0,20.0,,200,25857,0.092596,0.630832,0.650834,0.130681,0.034281,0.926755,0.973183,0.985681,0.996587,1.350675,0.995327,2.870190,1.078711,0.613299,0.095377,0.922692,3.670000,0.7334,
fcc6c600f83b,dav2_large,Depth-Anything-V2,Large,335.32,disparity_scale_shift,radial,real,rect,theta,20-30,20.0,30.0,,200,51196,0.086749,0.486518,0.639339,0.121430,0.032634,0.934118,0.975734,0.989250,0.996262,1.469135,0.985778,2.653615,1.233023,0.733406,0.092437,0.926887,3.975000,0.7334,
fcc6c600f83b,dav2_large,Depth-Anything-V2,Large,335.32,disparity_scale_shift,radial,real,rect,theta,30-40,30.0,40.0,,200,94551,0.090488,0.407328,0.591647,0.123866,0.034779,0.925450,0.972993,0.989094,0.994028,1.619686,0.978233,2.300343,1.238497,0.838870,0.091883,0.922705,4.000000,0.7334,
fcc6c600f83b,dav2_large,Depth-Anything-V2,Large,335.32,disparity_scale_shift,radial,real,rect,theta,40-50,40.0,50.0,,200,85810,0.088815,0.124544,0.412983,0.124983,0.037024,0.918768,0.971197,0.989024,1.003984,1.766652,0.979112,1.987273,1.167496,0.893078,0.092063,0.919677,4.000000,0.7334,
fcc6c600f83b,dav2_large,Depth-Anything-V2,Large,335.32,disparity_scale_shift,radial,real,rect,theta,50-55,50.0,55.0,,200,2940,0.089169,0.072883,0.304586,0.118686,0.039550,0.916446,0.964836,0.988702,1.027271,1.850661,0.990643,1.943890,1.014456,0.632354,0.141532,0.849284,2.930000,0.7334,
fcc6c600f83b,dav2_large,Depth-Anything-V2,Large,335.32,disparity_scale_shift,radial,synthetic,fisheye,theta,0-10,0.0,10.0,,200,4944,0.121024,0.651385,0.599515,0.142033,0.046038,0.936019,0.971700,0.981676,1.041261,1.226376,1.005570,3.000880,0.719866,0.424477,0.146788,0.916562,2.655000,1.1776,
fcc6c600f83b,dav2_large,Depth-Anything-V2,Large,335.32,disparity_scale_shift,radial,synthetic,fisheye,theta,10-20,10.0,20.0,,200,16022,0.109409,0.456451,0.592633,0.138033,0.043115,0.936040,0.976876,0.987182,1.044907,1.267489,0.997469,2.871683,1.078285,0.610150,0.109840,0.931564,3.530000,1.1776,
fcc6c600f83b,dav2_large,Depth-Anything-V2,Large,335.32,disparity_scale_shift,radial,synthetic,fisheye,theta,20-30,20.0,30.0,,200,29952,0.109676,0.520610,0.603572,0.139174,0.043169,0.929823,0.976180,0.988090,1.042671,1.319868,0.978744,2.654723,1.232538,0.732756,0.111018,0.919519,3.905000,1.1776,
