model,dataset,protocol,arm,context,pos_name,pos_lo,pos_hi,depth_lo,depth_hi,n,AbsRel,SqRel,delta1,gt_mean,gt_std,scale_ratio
oracle,nymeria,radial,raw,1,theta,50.0,55.0,0.0,0.75048828125,23557.0,0.2593197576347224,0.04543601076347168,0.5580082353440591,0.4827663866789529,0.14937943320577243,0.8207601760806303
oracle,nymeria,radial,raw,1,theta,50.0,55.0,0.75048828125,1.265625,18002.0,0.11679189573346664,0.021081641753123475,0.8730141095433841,1.0111948553025358,0.1527398594584329,1.362217016315948
oracle,nymeria,radial,raw,1,theta,50.0,55.0,1.265625,1.77734375,13830.0,0.07891970408626134,0.014461067081847852,0.9701373825018077,1.4830854149719812,0.14207709726253476,1.65668327263402
oracle,nymeria,radial,raw,1,theta,50.0,55.0,1.77734375,2.763671875,5801.0,0.05744184840489504,0.010702877102122992,0.9953456300637821,2.092974776708757,0.24178451258367722,1.9016938491891564
oracle,nymeria,radial,raw,1,theta,50.0,55.0,2.763671875,inf,919.0,0.03536532380497204,0.0073435302835653075,1.0,3.9681527985582155,2.040552137058466,2.25647920503524
oracle,nymeria,radial,raw,1,theta,55.0,60.0,0.0,0.75048828125,7280.0,0.2725389081138254,0.04824240635803656,0.5480769230769231,0.4678151560353709,0.15409570857267837,0.7980450693595742
oracle,nymeria,radial,raw,1,theta,55.0,60.0,0.75048828125,1.265625,6061.0,0.11577296237488713,0.02099950069553488,0.8790628609140406,1.0174041128732882,0.15228640343807356,1.3652652806405041
oracle,nymeria,radial,raw,1,theta,55.0,60.0,1.265625,1.77734375,3359.0,0.07946722496222723,0.014530908881218848,0.9627865436141709,1.44852768448571,0.1372874283702512,1.641125336627757
oracle,nymeria,radial,raw,1,theta,55.0,60.0,1.77734375,2.763671875,1343.0,0.057699713128897,0.01053053615080345,0.9947877885331348,2.0614405423957556,0.23226307644858868,1.8934564762150072
oracle,nymeria,radial,raw,1,theta,55.0,60.0,2.763671875,inf,270.0,0.03905280998815228,0.008325960540476815,1.0,3.965625,2.473456000262023,2.2380969363231187
