model,dataset,protocol,arm,context,pos_name,pos_lo,pos_hi,depth_lo,depth_hi,n,AbsRel,SqRel,delta1,gt_mean,gt_std,scale_ratio
vggt_omega,aea,radial,raw,1,theta,20.0,30.0,1.1259765625,1.474609375,21574.0,0.06597021380553247,0.026257786440883845,0.9677389450264207,1.2849840139606703,0.0971472863534351,1.3373333494515187
vggt_omega,aea,radial,raw,1,theta,20.0,30.0,1.474609375,2.18359375,27551.0,0.07105749428859101,0.03943517674305306,0.944176254945374,1.8374845953300243,0.21360726353798004,1.4871968552809238
vggt_omega,aea,radial,raw,1,theta,20.0,30.0,2.18359375,inf,38152.0,0.10418143013984318,0.2065491081343885,0.878957852799329,3.349725583684997,1.9053594399342377,1.7958373757706492
vggt_omega,aea,radial,raw,1,theta,30.0,40.0,0.0,0.7978515625,28466.0,0.2680704441816025,0.15760791310829658,0.7445373427949132,0.542632329776367,0.1835312684655269,0.7326621652437608
vggt_omega,aea,radial,raw,1,theta,30.0,40.0,0.7978515625,1.1259765625,26707.0,0.1107305431047374,0.05349600324711258,0.8985659190474408,0.9680027049907328,0.09358010919891775,1.2194580562761173
vggt_omega,aea,radial,raw,1,theta,30.0,40.0,1.1259765625,1.474609375,27305.0,0.08543918220266804,0.03249857192532861,0.9451016297381432,1.2907792185497162,0.09928480679330916,1.3775401706894306
vggt_omega,aea,radial,raw,1,theta,30.0,40.0,1.474609375,2.18359375,41634.0,0.08425816854298555,0.04300723858189784,0.9323869914012586,1.790273621394173,0.1879289918381883,1.241146395589143
vggt_omega,aea,radial,raw,1,theta,30.0,40.0,2.18359375,inf,32582.0,0.08965524400296121,0.14683278110245981,0.9131729175618439,3.0844007523325763,1.5102908348016935,1.7098172532972213
vggt_omega,aea,radial,raw,1,theta,40.0,50.0,0.0,0.7978515625,38824.0,0.2482872766867449,0.10633594578155989,0.7322017308881105,0.5465795272113416,0.17154393281633493,0.8165881237914949
vggt_omega,aea,radial,raw,1,theta,40.0,50.0,0.7978515625,1.1259765625,38082.0,0.12502073391231294,0.0441324234785973,0.8787353605377869,0.966548836536126,0.09497070034220745,1.2572706355115149
vggt_omega,aea,radial,raw,1,theta,40.0,50.0,1.1259765625,1.474609375,44518.0,0.09500278890590555,0.029340304752822902,0.942360393548677,1.295130709067119,0.1001352717036921,1.0503334700753857
vggt_omega,aea,radial,raw,1,theta,40.0,50.0,1.474609375,2.18359375,39816.0,0.08412888809665567,0.03296416111609985,0.9320876029736789,1.731155159436533,0.19739031361889595,1.1835040265736019
vggt_omega,aea,radial,raw,1,theta,40.0,50.0,2.18359375,inf,20054.0,0.11334079460698859,0.2030956431086704,0.8798743392839333,2.955709038720455,1.9524315654165436,1.6421892726901643
vggt_omega,aea,radial,raw,1,theta,50.0,55.0,0.0,0.7978515625,26645.0,0.2682277886406687,0.10725068326354616,0.6822668418089698,0.5690302417344952,0.15886223300925634,0.9335607197837027
vggt_omega,aea,radial,raw,1,theta,50.0,55.0,0.7978515625,1.1259765625,28841.0,0.15933786832187605,0.0502808904170962,0.8479595020977081,0.9744401585687477,0.09467445977744848,1.0977697331477974
vggt_omega,aea,radial,raw,1,theta,50.0,55.0,1.1259765625,1.474609375,20361.0,0.1473796534679468,0.04289935094439642,0.8881194440351653,1.2650920897334366,0.09663601409888262,1.0545095995898892
vggt_omega,aea,radial,raw,1,theta,50.0,55.0,1.474609375,2.18359375,11672.0,0.14485907522516103,0.06260076041888422,0.8660897875257025,1.744504995261095,0.19582862770727907,1.2465441303865914
vggt_omega,aea,radial,raw,1,theta,50.0,55.0,2.18359375,inf,5158.0,0.15779222084806388,0.40493957777173895,0.8293912369135323,3.092590166367778,3.526698731399881,1.5081866181309715
vggt_omega,aea,radial,raw,1,theta,55.0,60.0,0.0,0.7978515625,9931.0,0.2994944499498435,0.09600587406708772,0.6104118417077837,0.5565725466165763,0.16076012874420753,0.9400438796328517
vggt_omega,aea,radial,raw,1,theta,55.0,60.0,0.7978515625,1.1259765625,9499.0,0.19938012342053446,0.06480386961553895,0.7337614485735341,0.9689036448738025,0.08937753993355432,0.9980821708227433
vggt_omega,aea,radial,raw,1,theta,55.0,60.0,1.1259765625,1.474609375,4497.0,0.19771214577034885,0.06914895790100122,0.7576161885701579,1.2734472721397598,0.10443754416020237,1.2097656803171433
vggt_omega,aea,radial,raw,1,theta,55.0,60.0,1.474609375,2.18359375,2763.0,0.1840218754247731,0.0866564283794524,0.7651103872602244,1.7473297395267824,0.19352870975203063,1.1227658842805874
vggt_omega,aea,radial,raw,1,theta,55.0,60.0,2.18359375,inf,1144.0,0.18215301218440574,0.4012757301520314,0.7753496503496503,3.00558279611014,2.425304694906705,1.4736663419380056
vggt_omega,nymeria,radial,raw,1,theta,0.0,10.0,0.0,0.75048828125,2238.0,0.340701486410549,0.6160810268243813,0.8453976764968723,0.5985451051441019,0.12683181648624584,0.6440519348765565
vggt_omega,nymeria,radial,raw,1,theta,0.0,10.0,0.75048828125,1.265625,5063.0,0.12101567427351917,0.0948250251668768,0.9312660477977484,0.9964031330238988,0.13828740176934523,0.9735254623269474
vggt_omega,nymeria,radial,raw,1,theta,0.0,10.0,1.265625,1.77734375,6833.0,0.08037173651459432,0.05316670971425302,0.9351675691497147,1.53483725578077,0.12770354424749408,1.451079486618319
